time,user,fileID
1622482496,m4lwhere,4
1622485614,m4lwhere,4
1622486215,m4lwhere,4
1622486218,m4lwhere,1
1622486221,m4lwhere,1
1622678056,m4lwhere,5
1622678059,m4lwhere,6
1622679247,m4lwhere,1
1622680894,m4lwhere,5
1622708567,m4lwhere,4
1622708573,m4lwhere,4
1622708579,m4lwhere,5
1622710159,m4lwhere,4
1622712633,m4lwhere,4
1622715674,m4lwhere,24
1622715842,m4lwhere,23
1623197471,m4lwhere,25
1623200269,m4lwhere,25
1623236411,m4lwhere,23
1623236571,m4lwhere,26
1623238675,m4lwhere,23
1623238684,m4lwhere,23
1623978778,m4lwhere,32
1637167756,lindoo,32
1637167760,lindoo,0
1637167763,lindoo,1
1637167776,lindoo,32
1637167786,lindoo,2
1637167792,lindoo,3
1637167806,lindoo,/etc/passwd
1637167815,lindoo,../../../../../../../../../../etc/passwd
1637167823,lindoo,33
1637167831,lindoo,32
1637167888,lindoo,100
